# FILE_NAME
# REACTION
# BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
# NUMBER_OF_DATA_POINTS
# POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
#  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
# -------------------------------------------------------------------------------------------------------
# KMP_ELASTIC.DAT
# K- P --> P K-
# 0.493680    0.938270      0.            2
# 312
 195  1.14000    1.12860    1.15140    17.000     2.5000  2.5000     0.0  0.0  HOLLEY 67        PR 154, 1273
 196  1.15000    1.13000    1.17000    18.300     1.5000  1.5000     0.0  0.0  GRAZIANO 62      PR 128, 1868
 197  1.15000    1.15000    1.15000    17.300     1.1000  1.1000     0.0  0.0  SODICKSON 64     PR 133, B757
 198  1.15300    1.13300    1.17300    17.200     0.82000 0.82000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 199  1.15300    1.15300    1.15300    17.230     0.76000 0.76000    0.0  0.0  CONFORTO 71      NP B34, 41
 200  1.16100    1.16100    1.16100    15.300     0.32000 0.32000    0.0  0.0  GRISELIN 75      NP B93, 189
 201  1.16500    1.16500    1.16500    15.390     0.41000 0.41000    0.0  0.0  CONFORTO 76      NP B105, 189
 202  1.17400    1.15400    1.19400    16.500     0.79000 0.79000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 203  1.17400    1.17400    1.17400    16.460     0.79000 0.79000    0.0  0.0  CONFORTO 71      NP B34, 41
 204  1.17900    1.17900    1.17900    14.660     0.35000 0.35000    0.0  0.0  GRISELIN 75      NP B93, 189
 205  1.18000    1.16820    1.19180    16.800     2.5000  2.5000     0.0  0.0  HOLLEY 67        PR 154, 1273
 206  1.18300    1.16300    1.20300    15.900     0.75000 0.75000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 207  1.18300    1.18300    1.18300    15.890     0.75000 0.75000    0.0  0.0  CONFORTO 71      NP B34, 41
 208  1.20100    1.20100    1.20100    12.680     0.29000 0.29000    0.0  0.0  GRISELIN 75      NP B93, 189
 209  1.20500    1.20500    1.20500    13.890     0.37000 0.37000    0.0  0.0  CONFORTO 76      NP B105, 189
 210  1.22000    1.20780    1.23220    15.700     2.3000  2.3000     0.0  0.0  HOLLEY 67        PR 154, 1273
 211  1.22600    1.20600    1.24600    11.300     0.83000 0.83000    0.0  0.0  ARMENTEROS 68    NP B8, 233
 212  1.22600    1.22600    1.22600    11.810     0.83000 0.83000    0.0  0.0  CONFORTO 71      NP B34, 41
 213  1.23300    1.23300    1.23300    13.110     0.30000 0.30000    0.0  0.0  GRISELIN 75      NP B93, 189
 214  1.24500    1.24500    1.24500    12.320     0.29000 0.29000    0.0  0.0  CONFORTO 76      NP B105, 189
 215  1.25300    1.25300    1.25300    11.870     0.28000 0.28000    0.0  0.0  GRISELIN 75      NP B93, 189
 216  1.26000    1.26000    1.26000    15.200     0.70000 0.70000    0.0  0.0  SODICKSON 64     PR 133, B757
 217  1.26000    1.24740    1.27260    14.000     2.1000  2.1000     0.0  0.0  HOLLEY 67        PR 154, 1273
